<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
PLZL;D;221102;000000;6,061;6,068;5,830;5,900.5;160,550
PLZL;D;221103;000000;5,899.5;5,970;5,850;5,908;204,897
PLZL;D;221107;000000;6,015.5;6,200;5,990.5;6,178.5;340,097
PLZL;D;221108;000000;6,179;6,594;6,065;6,508.5;523,358
PLZL;D;221109;000000;6,527;6,728;6,361;6,434.5;658,307
PLZL;D;221110;000000;6,462;6,720;6,377;6,715;405,180
PLZL;D;221111;000000;6,735;6,839.5;6,652;6,733;316,037
PLZL;D;221114;000000;6,733;6,800;6,611;6,682;204,247
PLZL;D;221115;000000;6,680.5;6,775;6,210;6,482;388,284
PLZL;D;221116;000000;6,500;6,667;6,451;6,634;203,468
PLZL;D;221117;000000;6,634;6,653;6,470;6,574.5;130,521
PLZL;D;221118;000000;6,569.5;6,610;6,511.5;6,575;73,967
PLZL;D;221121;000000;6,545.5;6,547.5;6,331;6,428;212,637
PLZL;D;221122;000000;6,431;6,770;6,370;6,741.5;347,731
PLZL;D;221123;000000;6,767;7,178.5;6,738.5;7,140.5;975,545
PLZL;D;221124;000000;7,159;7,237;6,942.5;7,068;501,724
PLZL;D;221125;000000;7,075;7,095;6,910;7,008;299,562
PLZL;D;221128;000000;6,970;7,219;6,886;7,150.5;414,886
PLZL;D;221129;000000;7,175;7,344;7,159;7,237;415,188
PLZL;D;221130;000000;7,248;7,340.5;7,167;7,338.5;315,757
PLZL;D;221201;000000;7,380;7,540;7,330;7,525;583,772
PLZL;D;221202;000000;7,496;7,660;7,374;7,504.5;649,091
PLZL;D;221205;000000;7,535;7,640;7,366.5;7,446.5;385,220
PLZL;D;221206;000000;7,423;7,479;7,326;7,382;251,008
PLZL;D;221207;000000;7,379;7,467;7,265;7,452.5;236,161
PLZL;D;221208;000000;7,472.5;7,495;7,350.5;7,402;176,771
PLZL;D;221209;000000;7,425;7,460;7,369;7,420.5;150,389
PLZL;D;221212;000000;7,409;7,445;7,370;7,418;99,204
PLZL;D;221213;000000;7,425;7,710;7,360;7,638.5;420,290
PLZL;D;221214;000000;7,648.5;7,830;7,593.5;7,738;374,536
PLZL;D;221215;000000;7,707;7,729.5;7,427.5;7,463;315,631
PLZL;D;221216;000000;7,477.5;7,597;7,411;7,525.5;225,300
PLZL;D;221219;000000;7,548.5;7,607.5;7,348;7,503.5;255,680
PLZL;D;221220;000000;7,499;7,830;7,473.5;7,803;361,755
PLZL;D;221221;000000;7,850;8,029.5;7,764;7,853;457,482
PLZL;D;221222;000000;7,877;8,004;7,672;7,760.5;283,613
PLZL;D;221223;000000;7,785;7,868;7,713;7,823.5;141,458
PLZL;D;221226;000000;7,815;7,898.5;7,731.5;7,809;136,438
PLZL;D;221227;000000;7,849;7,880;7,810;7,862;126,049
PLZL;D;221228;000000;7,850;7,860;7,750.5;7,770;101,072
PLZL;D;221229;000000;7,775;7,802;7,625;7,734;130,459
