<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SELG;D;221117;000000;43.62;44.07;42.55;43.01;422,660
SELG;D;221118;000000;43;43.72;42.75;42.92;355,100
SELG;D;221121;000000;42.76;43.6;42;42.5;637,990
SELG;D;221122;000000;42.51;43.74;42.21;43.2;382,900
SELG;D;221123;000000;43.15;45.02;43.06;44.21;1,778,510
SELG;D;221124;000000;44.24;45.19;43.65;43.9;725,190
SELG;D;221125;000000;43.91;44.58;43.43;43.82;499,640
SELG;D;221128;000000;43.41;44.2;42.78;44.2;607,240
SELG;D;221129;000000;44.22;45.1;43.85;44.05;1,250,790
SELG;D;221130;000000;44.05;45.25;43.98;44.25;1,383,830
SELG;D;221201;000000;44.76;46.2;44.53;46.09;1,811,840
SELG;D;221202;000000;46.27;47.49;45.01;45.8;2,060,590
SELG;D;221205;000000;46.48;47.29;45;45.6;1,023,070
SELG;D;221206;000000;46;46;45.1;45.35;492,880
SELG;D;221207;000000;45.38;46.15;45.15;45.66;774,700
SELG;D;221208;000000;45.89;46.8;45.22;45.71;1,304,540
SELG;D;221209;000000;45.6;46.24;45.35;45.35;379,470
SELG;D;221212;000000;45.35;45.61;44.81;44.99;531,140
SELG;D;221213;000000;45;45.74;43.71;45.21;1,117,820
SELG;D;221214;000000;45.3;45.58;44.5;44.9;415,620
SELG;D;221215;000000;44.92;44.92;42.89;43.5;509,450
SELG;D;221216;000000;43.4;44.28;43.04;43.5;289,080
SELG;D;221219;000000;43.95;44.29;43.24;43.38;541,130
SELG;D;221220;000000;43.32;45.5;43.31;45;1,206,690
SELG;D;221221;000000;45.15;45.9;44.52;44.66;760,200
SELG;D;221222;000000;44.71;45.8;43.6;44.13;885,790
SELG;D;221223;000000;44.62;44.62;43.8;43.9;279,570
SELG;D;221226;000000;44.25;44.25;43.62;43.75;187,630
SELG;D;221227;000000;43.93;44.09;43.66;44;469,730
SELG;D;221228;000000;44;44.2;43.45;43.61;387,700
SELG;D;221229;000000;43.72;43.93;43.44;43.65;235,190
SELG;D;221230;000000;43.74;43.96;43.5;43.6;161,470
SELG;D;230103;000000;43.73;44.64;43.62;44.47;303,960
SELG;D;230104;000000;44.52;45.7;44.49;45.08;699,280
SELG;D;230105;000000;45.47;45.47;44.57;44.68;251,040
SELG;D;230106;000000;44.59;44.89;44.12;44.66;278,200
SELG;D;230109;000000;46.01;46.1;44.39;45.26;931,250
SELG;D;230110;000000;45.27;45.51;44.9;45.11;372,320
SELG;D;230111;000000;45.58;45.58;45.01;45.1;159,950
SELG;D;230112;000000;45.1;45.7;45;45.32;560,930
SELG;D;230113;000000;45.45;46.2;45.2;45.56;1,046,830
SELG;D;230116;000000;46;48.29;46;47.2;2,878,880
SELG;D;230117;000000;47.5;47.72;46.05;46.68;1,266,590
SELG;D;230118;000000;46.68;47.38;46.08;46.87;678,010
SELG;D;230119;000000;46.87;48.15;46.11;46.43;908,290
SELG;D;230120;000000;46.85;47.04;46.5;46.73;288,630
SELG;D;230123;000000;46.73;47.72;46.52;46.93;574,180
SELG;D;230124;000000;47.34;47.8;47.04;47.48;772,060
SELG;D;230125;000000;47.63;49.16;47.31;48.3;3,385,860
SELG;D;230126;000000;49.29;49.3;48;48.15;1,941,380
SELG;D;230127;000000;48.93;49.26;47.7;47.98;2,060,930
SELG;D;230130;000000;48;49.1;47.95;48.82;2,068,290
SELG;D;230131;000000;48.83;49.3;48.1;48.48;774,700
SELG;D;230201;000000;48.48;49.14;47.88;48.18;1,108,040
SELG;D;230202;000000;49.55;54.89;48.62;51.4;15,196,160
SELG;D;230203;000000;51.81;51.9;49.79;50;3,311,870
SELG;D;230206;000000;50.66;51.4;50.29;50.6;1,721,010
SELG;D;230207;000000;50.7;50.89;49.54;49.92;1,033,600
SELG;D;230208;000000;49.98;50.45;49.5;49.71;1,004,860
SELG;D;230209;000000;50;50.2;48.31;49.56;1,026,630
SELG;D;230210;000000;49.49;49.49;48.8;48.87;457,300
SELG;D;230213;000000;48.97;50.6;48.9;49.48;1,294,350
SELG;D;230214;000000;49.7;50.07;48.2;48.29;1,267,940
SELG;D;230215;000000;48.2;48.5;46.18;46.2;1,988,290
SELG;D;230216;000000;46.66;48.49;46.5;46.6;1,260,090
SELG;D;230217;000000;46.91;47.5;46.61;47.25;586,020
SELG;D;230220;000000;47.49;47.49;46.5;47.24;580,300
SELG;D;230221;000000;47.24;48.2;46.7;47.7;974,980
SELG;D;230222;000000;47.94;47.95;47.07;47.38;264,010
SELG;D;230224;000000;47.4;47.95;46.82;47.1;335,550
SELG;D;230227;000000;47.24;47.78;46.8;47.6;406,780
SELG;D;230228;000000;47.63;48.5;47.5;48.18;772,120
SELG;D;230301;000000;48.29;49;48.26;48.63;656,530
SELG;D;230302;000000;48.65;48.65;47.1;47.72;800,660
SELG;D;230303;000000;47.82;49.2;47.74;48.47;548,860
SELG;D;230306;000000;48.85;48.99;48.5;48.71;569,050
SELG;D;230307;000000;48.71;48.93;48.18;48.41;346,150
SELG;D;230309;000000;48.22;48.9;48.18;48.47;411,640
SELG;D;230310;000000;48.39;48.78;48.15;48.56;556,300
SELG;D;230313;000000;49.15;50.18;48.75;49.65;3,494,970
SELG;D;230314;000000;50.13;53;49.49;49.59;13,287,980
SELG;D;230315;000000;49.74;50.21;48.43;49.43;3,991,400
SELG;D;230316;000000;49.59;49.59;48.53;48.89;1,755,300
SELG;D;230317;000000;49.29;49.53;48.68;49.22;1,783,260
SELG;D;230320;000000;49.68;51.19;49.62;49.8;3,528,030
SELG;D;230321;000000;49.82;50;48.89;49.1;1,838,140
SELG;D;230322;000000;49.23;49.47;48.64;49.26;896,620
SELG;D;230323;000000;50;50.5;49.29;49.38;1,908,870
SELG;D;230324;000000;49.7;49.7;49.1;49.21;1,225,350
SELG;D;230327;000000;49.45;49.59;49;49.23;1,313,230
SELG;D;230328;000000;49.23;49.36;48.82;49.09;1,073,330
SELG;D;230329;000000;49.09;49.29;48.9;49.03;741,470
SELG;D;230330;000000;49.05;49.58;48.9;49.1;1,653,630
SELG;D;230331;000000;49.21;49.27;48.52;48.77;1,000,840
SELG;D;230403;000000;48.46;49.47;48.03;49.28;1,862,310
SELG;D;230404;000000;49.34;50.44;49;49.86;2,996,730
SELG;D;230405;000000;50.32;50.33;48.5;49.76;2,523,430
SELG;D;230406;000000;49.77;50;49.3;49.35;1,108,860
SELG;D;230407;000000;49.47;49.5;49;49.07;785,140
SELG;D;230410;000000;49.1;49.84;49.07;49.54;1,352,180
SELG;D;230411;000000;49.64;50.28;48.5;49.05;3,778,020
SELG;D;230412;000000;49.35;49.85;49;49.26;920,870
SELG;D;230413;000000;49.3;50.45;49.2;49.93;4,022,750
SELG;D;230414;000000;50.1;50.74;49.3;49.56;2,556,350
SELG;D;230417;000000;49.95;50.97;49.61;50.63;3,427,150
SELG;D;230418;000000;50.74;50.8;49.91;50.43;1,948,470
SELG;D;230419;000000;50.49;50.63;49.64;50.04;1,855,420
SELG;D;230420;000000;50.04;50.34;48.98;49.89;1,354,420
SELG;D;230421;000000;50.14;53.89;49.6;52.13;21,658,800
SELG;D;230424;000000;52.91;52.91;51.52;51.71;2,437,990
SELG;D;230425;000000;52.09;52.49;50.8;51.61;1,498,890
SELG;D;230426;000000;51.48;53.55;51;52.06;4,788,760
SELG;D;230427;000000;52.2;53.22;52.09;52.13;1,681,270
SELG;D;230428;000000;52.3;52.8;51.2;51.34;1,217,670
SELG;D;230502;000000;50.97;52.8;49.16;51;3,931,550
SELG;D;230503;000000;51.05;51.28;49.29;49.6;1,298,360
SELG;D;230504;000000;49.52;51.44;48.5;50.52;1,447,960
SELG;D;230505;000000;50.54;52.89;49.02;49.4;4,530,130
SELG;D;230508;000000;49.54;49.82;49.26;49.32;421,200
SELG;D;230510;000000;50.59;52;49.6;52;2,993,130
