<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
PLZL;D;221230;000000;7754;7777;7628;7692;112981
PLZL;D;230103;000000;7778;7910;7753.5;7903;179591
PLZL;D;230104;000000;7940.5;8036;7925;8014.5;161437
PLZL;D;230105;000000;8014.5;8015;7833;7875.5;123918
PLZL;D;230106;000000;7890;7936;7780;7905;145553
PLZL;D;230109;000000;7965.5;7999.5;7800;7845;188470
PLZL;D;230110;000000;7830.5;7900;7751;7876;124405
PLZL;D;230111;000000;7905;7920;7856;7881.5;102684
PLZL;D;230112;000000;7889;7974.5;7850;7934;132273
PLZL;D;230113;000000;7937;8120;7901.5;8068;294212
PLZL;D;230116;000000;8094.5;8260;8076;8228;298540
PLZL;D;230117;000000;8225;8280;8107;8129;215912
PLZL;D;230118;000000;8128;8248.5;8080.5;8155;163328
PLZL;D;230119;000000;8158.5;8200;8039;8164.5;158796
PLZL;D;230120;000000;8168;8205;8130;8174.5;97560
PLZL;D;230123;000000;8199.5;8269;8161.5;8224;131632
PLZL;D;230124;000000;8250.5;8447;8250;8435;403531
PLZL;D;230125;000000;8440;8569.5;8435;8569.5;246316
PLZL;D;230126;000000;8572;8769;8528.5;8766;417664
PLZL;D;230127;000000;8773;8780;8662.5;8768;198359
PLZL;D;230130;000000;8830;9298;8781;9252.5;672590
PLZL;D;230131;000000;9247;9515;9070;9478;665708
PLZL;D;230201;000000;9476;9815;9355;9720;1081475
PLZL;D;230202;000000;9799;9800;9430;9449;641694
PLZL;D;230203;000000;9447.5;9545;9158;9248;849849
PLZL;D;230206;000000;9264.5;9434;9210;9342;313510
PLZL;D;230207;000000;9349.5;9390;9025;9111.5;426219
PLZL;D;230208;000000;9100;9287;9025;9218.5;388325
PLZL;D;230209;000000;9249.5;9298;9121;9139.5;188583
PLZL;D;230210;000000;9102.5;9150;9042.5;9123.5;150881
PLZL;D;230213;000000;9123.5;9240;9063;9080;157344
PLZL;D;230214;000000;9101.5;9144.5;8890;8931.5;281607
PLZL;D;230215;000000;8877;8877;8085.5;8375;1013190
PLZL;D;230216;000000;8473;8620;8303;8427;580954
PLZL;D;230217;000000;8306.5;8693.5;8227;8667;410328
PLZL;D;230220;000000;8643.5;8949;8422;8922.5;665377
PLZL;D;230221;000000;8930;9150;8824;8963.5;618702
PLZL;D;230222;000000;8972;8973;8704.5;8743;293019
PLZL;D;230224;000000;8749;8846;8661;8788;174009
PLZL;D;230227;000000;8705;8908;8700;8878;213530
PLZL;D;230228;000000;8899;8940;8710;8788.5;278006
PLZL;D;230301;000000;8819.5;8985;8790;8939;278287
PLZL;D;230302;000000;8925;8990;8781.5;8836;333875
PLZL;D;230303;000000;8894.5;8969;8839;8956;163850
PLZL;D;230306;000000;8995.5;9068;8972;9003.5;138668
PLZL;D;230307;000000;9007.5;9019;8885;8919.5;140687
PLZL;D;230309;000000;8909.5;8954.5;8821;8892.5;135721
PLZL;D;230310;000000;8879;9041;8856;8976;160796
PLZL;D;230313;000000;9075;9395;9051;9395;707266
PLZL;D;230314;000000;9429;9488;9191;9239.5;511429
PLZL;D;230315;000000;9239;9370;9064.5;9268.5;567477
PLZL;D;230316;000000;9265;9320;9178;9220;190863
PLZL;D;230317;000000;9249.5;9475;9220;9412;326971
PLZL;D;230320;000000;9490;9600;9375;9419.5;410325
PLZL;D;230321;000000;9388.5;9429.5;9261.5;9310;183641
PLZL;D;230322;000000;9320.5;9532;9289;9488;262937
PLZL;D;230323;000000;9533;9590;9431;9488;259090
PLZL;D;230324;000000;9475;9539.5;9440;9475;121700
PLZL;D;230327;000000;9466;9495;9341;9408.5;195824
PLZL;D;230328;000000;9401;9495;9311;9449;206092
PLZL;D;230329;000000;9415;9468.5;9406;9427.5;89742
PLZL;D;230330;000000;9445;9485;9401;9454;86537
PLZL;D;230331;000000;9478;9500;9345;9441.5;141833
PLZL;D;230403;000000;9421;9675;9375;9600;239413
PLZL;D;230404;000000;9600;9750;9550;9725;249692
PLZL;D;230405;000000;9750;9789;9626;9699;194912
